State/Territory,abbr,deaths_per_100k,feb_2020_unemployment,mar_2021_unemployment,apr_2021_unemployment,may_2021_unemployment,unemployment_change_feb_20_to_may_21,dem_margin_2020,population,perc_25plus_with_bachelors,income_per_capita,perc_pop_at_least_1_dose_may_2021,stringency_index,population_per_sq_mi,perc_urban,median_age,mean_temperature,perc_blue_collar_jobs,obesity_rate,perc_pop_nonwhite,flu_death_rate,covid_deaths_over_flu_deaths,gini_coefficient,nursing_resid_per_100k
Alabama,AL,230,2.7,3.8,3.6,3.4,0.7,-25.5,4903185,0.2635,23606,0.356,48.89004695,95.4,0.59,39.4,62.68,0.179,0.361,0.345,16.6,13.61445783,0.474,462.6381
Alaska,AK,50,5.8,6.6,6.7,6.7,0.9,-10.1,731545,0.3019,33062,0.453,58.89823944,1.3,0.66,35,32.03,0.133,0.305,0.394,7.1,6.901408451,0.438,68.2118
Arizona,AZ,245,4.5,6.7,6.7,6.7,2.2,0.3,7278717,0.3018,25715,0.453,55.34157277,58.3,0.898,38.2,65.97,0.113,0.314,0.453,10.3,23.39805825,0.459,141.8519
Arkansas,AR,194,3.5,4.4,4.4,4.4,0.9,-27.6,3017825,0.2334,22883,0.387,56.7465493,56.9,0.562,38.5,60.09,0.172,0.374,0.277,16.6,11.56626506,0.475,572.7635
California,CA,158,3.9,8.3,8.3,7.9,4,29.2,39512223,0.35,30441,0.554,64.71197183,246.1,0.95,37,61.17,0.128,0.262,0.63,12.5,12.48,0.487,252.9749
Colorado,CO,117,2.5,6.4,6.4,6.2,3.7,13.5,5758736,0.4266,32357,0.527,60.0414554,50.8,0.862,37.1,46.26,0.123,0.238,0.318,7.8,14.35897436,0.455,277.9082
Connecticut,CT,231,3.8,8.3,8.1,7.7,3.9,20,3565287,0.3984,39373,0.618,66.06481132,742.6,0.88,41.1,48.6,0.129,0.291,0.333,11,20.90909091,0.502,550.4185
Delaware,DE,173,3.9,6.5,6.4,5.9,2,19,973764,0.332,30488,0.529,62.41326291,475.1,0.833,41.1,54.48,0.103,0.344,0.378,10.5,16.19047619,0.451,404.3074
District of Columbia,DC,161,5.2,7.8,7.5,7.2,2,86.8,705749,0.5967,45877,0.559,68.80840376,10588.8,1,34.2,54.73,0.022,0.238,0.635,10.8,14.72222222,0.512,177.967
Florida,FL,175,2.8,4.7,4.8,4.9,2.1,-3.4,21477737,0.307,26582,0.478,55.98394366,364.6,0.912,42.5,71.8,0.1,0.27,0.462,8.2,20.6097561,0.481,331.3291
Georgia,GA,200,3.1,4.5,4.3,4.1,1,0.2,10617423,0.3251,25615,0.387,58.49370892,173.7,0.751,37.1,62.3,0.131,0.331,0.474,11.8,16.44067797,0.48,215.6267
Hawaii,HI,36,2.7,9,8.5,8.1,5.4,29.5,1415872,0.3363,29736,0.65,73.17800469,218.6,0.919,39.6,72.95,0.08,0.25,0.782,16.8,2.023809524,0.44,243.2423
Idaho,ID,119,2.7,3.2,3.1,3,0.3,-30.8,1787065,0.2875,23938,0.369,56.43065728,19.5,0.706,36.9,46.32,0.158,0.295,0.18,11.4,10.1754386,0.434,183.8769
Illinois,IL,202,3.4,7.1,7.1,7.1,3.7,17,12671821,0.3576,30417,0.533,60.21239437,232,0.885,38.6,51.37,0.133,0.316,0.388,13.4,14.70149254,0.48,517.7393
Indiana,IN,205,3.1,3.9,3.9,4,0.9,-16.1,6732219,0.2694,25140,0.408,53.03539906,183.4,0.724,37.9,51.81,0.214,0.353,0.208,11.6,17.32758621,0.458,557.9735
Iowa,IA,193,2.8,3.7,3.8,3.9,1.1,-8.2,3155070,0.2931,28361,0.483,48.95652582,55.3,0.64,38.5,48.14,0.189,0.339,0.141,13.2,14.46969697,0.442,708.352
Kansas,KS,176,3.1,3.7,3.5,3.5,0.4,-14.7,2913314,0.3402,27870,0.459,56.16774648,35.4,0.742,37.1,54.68,0.162,0.352,0.241,14,12.35714286,0.45,577.0748
Kentucky,KY,161,4.2,5,4.7,4.5,0.3,-25.9,4467673,0.2513,23684,0.453,64.01686603,111.3,0.584,39.1,55.62,0.176,0.365,0.154,15.7,9.554140127,0.476,480.832
Louisiana,LA,230,5.2,7.3,7.3,7.1,1.9,-18.6,4648794,0.2498,24800,0.351,61.82546948,107.1,0.732,37.5,66.74,0.16,0.359,0.415,12.1,18.67768595,0.498,556.3378
Maine,ME,63,3.2,4.8,4.8,4.7,1.5,9.1,1344212,0.3319,27978,0.614,69.17410798,43.1,0.387,45,43.09,0.13,0.317,0.066,14.7,4.149659864,0.449,434.9016
Maryland,MD,160,3.3,6.2,6.2,6.1,2.8,33.2,6045680,0.4088,36338,0.555,63.49420048,610.8,0.872,39.1,54.61,0.098,0.323,0.493,11.4,12.98245614,0.456,272.3267
Massachusetts,MA,260,2.8,6.8,6.5,6.1,3.3,33.5,6949503,0.4498,36593,0.649,64.42809859,858,0.92,39.6,48.14,0.11,0.252,0.285,13.2,19.54545455,0.48,494.467
Michigan,MI,209,3.6,5.1,4.9,5,1.4,2.8,9986857,0.3003,26613,0.477,58.99492958,175,0.746,39.9,46.64,0.176,0.36,0.25,12.8,15.703125,0.463,375.9641
Minnesota,MN,135,3.1,4.2,4.1,4,0.9,7.1,5639632,0.3725,32638,0.532,60.33457746,68.1,0.733,38.3,42.98,0.152,0.301,0.201,7.5,17.6,0.443,415.7009
Mississippi,MS,248,5.4,6.3,6.2,6.1,0.7,-16.5,2976149,0.2231,21036,0.332,54.87978873,63.7,0.493,38,63.5,0.169,0.408,0.434,22.6,10.79646018,0.49,535.0203
Missouri,MO,150,3.5,4.2,4.1,4.2,0.7,-15.4,6137428,0.3022,26126,0.415,51.5234507,87.9,0.704,38.9,54.7,0.136,0.348,0.206,13.1,11.14503817,0.463,607.3717
Montana,MT,154,3.5,3.8,3.7,3.6,0.1,-16.4,1068778,0.3358,25989,0.445,55.70406103,7,0.559,40.1,44.18,0.115,0.283,0.137,10.5,14.19047619,0.46,353.3007
Nebraska,NE,116,2.9,2.9,2.8,2.6,-0.3,-19.2,1934408,0.3323,27446,0.473,54.00960094,24.3,0.731,36.8,49.88,0.146,0.341,0.21,14.5,8,0.44,547.1441
Nevada,NV,183,3.6,8.1,8,7.8,4.2,2.4,3080156,0.2569,25773,0.444,57.517277,25.4,0.942,38.3,57.3,0.103,0.306,0.512,13.3,13.53383459,0.471,182.6531
New Hampshire,NH,100,2.6,3,2.8,2.5,-0.1,7.4,1359711,0.3758,34691,0.644,52.84295775,147.8,0.603,43.1,44.49,0.142,0.318,0.097,10.3,9.514563107,0.441,470.4676
New Jersey,NJ,297,3.8,7.7,7.5,7.2,3.4,15.9,8882190,0.4122,37288,0.585,59.64676056,1210.1,0.947,40.1,51.93,0.097,0.256,0.452,10.9,26.88073394,0.478,477.5061
New Mexico,NM,206,4.8,8.3,8.2,8,3.2,10.8,2096829,0.2767,23683,0.564,73.10157277,17.2,0.774,38.4,53.07,0.108,0.317,0.626,13.2,14.92424242,0.477,262.7777
New York,NY,264,3.7,8.5,8.2,7.8,4.1,23.1,19453561,0.3781,33095,0.541,70.06760563,417,0.879,39.2,48.17,0.088,0.271,0.449,16.5,16.48484848,0.515,461.4836
North Carolina,NC,127,3.6,5.2,5,4.8,1.2,-1.3,10488084,0.323,25774,0.426,63.85223005,202.6,0.661,39.1,58.7,0.155,0.34,0.37,13.8,8.913043478,0.474,344.6578
North Dakota,ND,200,2.2,4.4,4.2,4,1.8,-33.4,762062,0.3041,33071,0.415,44.89133803,10.5,0.599,35.3,40.8,0.166,0.348,0.156,14.3,13.77622378,0.456,698.2372
Ohio,OH,172,4.1,4.7,4.7,5,0.9,-8,11689100,0.2928,26937,0.448,61.07276995,283.2,0.779,39.5,50.88,0.165,0.348,0.211,12.6,13.33333333,0.465,614.6923
Oklahoma,OK,186,3.2,4.2,4.3,4,0.8,-33.1,3956971,0.2621,25229,0.41,47.88213615,56.1,0.662,36.9,60.14,0.151,0.368,0.344,13.7,12.77372263,0.474,435.0045
Oregon,OR,65,3.3,6,6,5.9,2.6,16.1,4217737,0.3455,27646,0.532,61.73023474,40.9,0.81,39.6,51.27,0.156,0.29,0.244,9,6.888888889,0.45,110.7703
Pennsylvania,PA,215,4.7,7.3,7.4,6.9,2.2,1.2,12801989,0.3231,29220,0.569,58.26751174,285.5,0.787,40.8,49.8,0.14,0.332,0.236,13.4,15.74626866,0.475,566.4667
Rhode Island,RI,257,3.4,7.1,6.3,5.8,2.4,20.8,1059361,0.3484,30830,0.595,66.10802817,1017.1,0.907,40.1,49.27,0.12,0.3,0.279,11.7,21.79487179,0.463,713.449
South Carolina,SC,190,2.5,5.1,5,4.6,2.1,-11.7,5148714,0.296,24596,0.401,53.83666667,158.8,0.663,39.9,61.7,0.164,0.354,0.364,10.8,17.31481481,0.475,302.2697
South Dakota,SD,229,3.3,2.9,2.8,2.8,-0.5,-26.2,884659,0.2972,26959,0.474,45.21056338,11.1,0.567,37.4,45.54,0.152,0.33,0.177,15.9,14.21383648,0.436,631.3167
Tennessee,TN,183,3.4,5,5,5,1.6,-23.2,6833174,0.2872,24922,0.384,57.98631455,157.5,0.664,39,58.11,0.156,0.365,0.261,16.2,11.17283951,0.475,389.9652
Texas,TX,176,3.5,6.9,6.7,6.5,3,-5.6,28995881,0.3077,27125,0.429,55.29584507,101.2,0.847,35,65.97,0.147,0.34,0.581,11.3,15.22123894,0.475,312.8306
Utah,UT,72,2.5,2.9,2.8,2.7,0.2,-20.5,3205958,0.3477,24877,0.441,49.36204225,35.3,0.906,31.3,49.55,0.158,0.292,0.217,11.2,6.339285714,0.427,173.8638
Vermont,VT,41,2.4,2.9,2.9,2.6,0.2,35.4,623989,0.3866,29178,0.696,67.077723,68,0.389,43,43.74,0.147,0.266,0.072,5.8,6.896551724,0.447,378.0515
Virginia,VA,133,2.6,5.1,4.7,4.5,1.9,10.1,8535519,0.3959,34052,0.537,58.72812207,209.2,0.755,38.6,55.54,0.109,0.319,0.383,11,11.81818182,0.469,229.0429
Washington,WA,76,3.8,5.4,5.5,5.3,1.5,19.2,7614893,0.3697,31841,0.548,63.22737089,104.9,0.84,37.8,50.47,0.149,0.283,0.314,10,7.4,0.458,198.2168
West Virginia,WV,160,4.9,5.9,5.8,5.5,0.6,-38.9,1792147,0.2105,22714,0.396,57.33558025,77.1,0.487,42.9,53.08,0.13,0.397,0.08,16.1,9.565217391,0.464,517.7031
Wisconsin,WI,138,3.5,3.8,3.9,3.9,0.4,0.6,5822434,0.3134,28213,0.5,55.78032864,106,0.702,39.8,44.71,0.199,0.342,0.188,10,13.3,0.439,364.7272
Wyoming,WY,126,3.7,5.3,5.4,5.4,1.7,-43.4,578759,0.2913,29698,0.363,60.12802817,6,0.648,38.4,43.47,0.175,0.297,0.16,14.6,8.424657534,0.435,384.2705
